kepid,koi_pdisposition,confidence,koi_period,koi_prad,koi_teq,koi_duration,koi_impact,koi_insol
4845862,FALSE POSITIVE,0.8419892461911176,2.44926655,0.76,1033.0,2.988,0.253,269.06
8413968,FALSE POSITIVE,0.8419742391322473,135.223193,0.92,417.0,8.989,0.0177,7.18
2716853,FALSE POSITIVE,0.8415634328467906,68.832195,2.35,411.0,3.31,0.633,6.71
4571004,FALSE POSITIVE,0.8415110062054779,36.616669,1.68,548.0,8.62,0.3646,21.35
6929285,FALSE POSITIVE,0.8414659440737536,4.60690612,0.9,950.0,4.176,0.203,192.38
11967872,FALSE POSITIVE,0.8410132621586933,134.370692,1.95,351.0,8.73,0.174,3.58
7906671,FALSE POSITIVE,0.840893869056385,45.1178526,2.78,517.0,3.737,0.97,16.87
12004689,FALSE POSITIVE,0.840683420623642,2.5212708,0.81,1003.0,2.706,0.3286,238.81
9996632,FALSE POSITIVE,0.8406173411564022,8.44326557,1.97,934.0,3.353,0.42,179.79
8937021,FALSE POSITIVE,0.8404470426848694,5.663621501,2.47,774.0,1.2968,0.169,84.76
8109692,FALSE POSITIVE,0.8403760518486457,117.934158,3.76,648.0,9.25,0.658,41.73
9824928,FALSE POSITIVE,0.8403627201170812,1.69999106,0.55,934.0,3.289,0.388,180.38
10535886,FALSE POSITIVE,0.8402485864810624,0.93376021,0.4,1019.0,3.182,0.297,253.97
4863369,FALSE POSITIVE,0.8396217771270352,4.24748886,1.01,1079.0,3.053,0.242,319.94
7662744,FALSE POSITIVE,0.8395167769597245,135.428746,1.83,343.0,7.394,0.498,3.29
11601357,FALSE POSITIVE,0.8393984749589473,3.55027051,1.15,1036.0,1.879,0.022,272.61
6033602,FALSE POSITIVE,0.8387255722126727,33.2948005,1.46,600.0,2.997,0.03,30.67
9049697,FALSE POSITIVE,0.8382903990986317,1.3274511,0.66,1009.0,3.465,0.245,243.87
8008913,FALSE POSITIVE,0.8377959731863799,34.9989085,1.65,376.0,1.764,0.896,4.74
11869052,FALSE POSITIVE,0.8377626381861123,20.5452375,2.41,742.0,2.517,0.95,71.57
4861527,FALSE POSITIVE,0.8376736896142439,25.7054557,1.75,670.0,6.059,0.722,47.76
12885212,FALSE POSITIVE,0.8376291815706398,2.057499811,1.27,1037.0,2.569,0.004,273.84
9429631,FALSE POSITIVE,0.83750659405523,4.18587282,0.89,1057.0,1.998,0.078,295.17
4754831,FALSE POSITIVE,0.8372823097801182,75.681309,1.64,560.0,11.62,0.6194,23.25
6032920,FALSE POSITIVE,0.8372192473853411,10.828825742,0.76,758.0,0.7275,0.137,78.3
9529148,FALSE POSITIVE,0.8367986535912728,25.3428696,1.85,706.0,1.51,0.554,58.81
6636020,FALSE POSITIVE,0.8365067779671497,18.3602239,2.04,637.0,2.352,0.1819,38.9
6124941,FALSE POSITIVE,0.8363368466127596,5.670155713,5.85,341.0,0.9361,1.267,3.21
11752908,FALSE POSITIVE,0.8362239390644765,6.38315744,2.35,787.0,1.7075,0.029,91.0
4833135,FALSE POSITIVE,0.8359458513872283,8.661374,1.32,945.0,2.972,0.6469,188.16
9369366,FALSE POSITIVE,0.8357471312755874,36.0054414,3.33,1024.0,3.262,0.745,259.71
5385410,FALSE POSITIVE,0.8355358442357331,12.4250319,0.89,1030.0,1.4446,0.777,266.45
3342467,FALSE POSITIVE,0.8354591758134413,88.1804682,2.78,359.0,5.033,0.026,3.94
7697568,FALSE POSITIVE,0.835245360799156,10.3482112,1.29,724.0,2.089,0.093,64.97
3120276,FALSE POSITIVE,0.8351272864711643,10.26547688,1.81,770.0,3.733,0.69,83.13
6531143,FALSE POSITIVE,0.8345311768030641,19.4444573,1.53,749.0,5.509,0.634,74.47
11621897,FALSE POSITIVE,0.834379394308822,21.6817115,0.89,713.0,7.18,0.27,60.99
12061096,FALSE POSITIVE,0.8339658599755055,15.05028313,2.46,735.0,1.848,0.3125,69.16
4247092,FALSE POSITIVE,0.8334909348911153,21.05647572,5.05,732.0,1.238,0.938,67.74
9821151,FALSE POSITIVE,0.8334664953879767,8.42943991,1.19,1029.0,2.441,0.82,265.39
8044600,FALSE POSITIVE,0.833361184821101,4.1083812,1.62,1058.0,3.279,0.148,295.63
10002266,FALSE POSITIVE,0.8333304317995879,12.71368909,1.09,700.0,1.875,0.196,56.78
1717528,FALSE POSITIVE,0.8331003028145081,9.31392071,1.25,884.0,0.971,0.1287,144.19
